old_id,instead_id
9,17205
116,17104
148,19633
168,17148
433,17372
443,17324
646,17398
750,15064
984,16030
1060,15125
1140,17125
1153,17126
1156,17374
1174,15384
1219,17035
1292,15120
1333,17120
1352,17242
1357,17365
1429,19208
1439,17947
1749,16665
1826,16428
1840,16134
1936,17097
2020,17733
2052,16010
2316,17314
2332,15722
2354,17220
2410,17204
2514,17218
2706,17261
2891,11282
2922,19145
3006,17197
3088,18835
3292,15048
3406,16714
3446,17402
3508,20348
3566,15429
3571,18587
3639,17090
3790,20414
3874,16744
3891,17457
4012,17523
4108,15078
4150,19529
4159,17134
4306,18410
4336,17857
4378,17545
4442,19205
4464,18499
4707,11437
4762,17346
4811,17262
4826,16083
4987,16168
5018,16726
5029,17338
5087,17350
5122,17359
5222,15221
5404,11916
5489,15072
5523,19289
5710,17516
5740,11419
5839,16176
5938,18195
5967,16091
5972,17155
5979,16761
6263,11284
6305,17005
6358,18194
6380,17179
6388,17012
6412,17014
6433,11280
6472,17500
6486,17096
6488,17093
6552,11225
6578,15269
6623,16115
6632,17235
6642,15100
6645,17131
6695,15092
6712,16108
6725,15267
6795,17279
6810,11416
6815,17047
6825,20261
6844,17006
6863,17211
6952,17101
7013,18081
7029,17092
7050,11457
7059,11383
7072,17153
7111,19133
7166,20204
7175,16692
7183,17050
7194,17094
7220,18193
7316,20358
7318,17313
7373,17428
7412,15599
7476,9265
7515,17827
7561,11283
7589,20608
7619,15405
7656,11479
7670,17110
7717,17442
7749,18212
7892,17627
7989,17013
8010,19207
8032,17116
8095,15268
8219,19368
8221,16068
8235,17894
8266,11397
8278,20267
8309,18243
8313,17507
8327,17180
8338,17008
8379,9397
8399,17208
8400,11179
8476,17085
8661,17289
8697,11276
8724,11266
8789,17305
8876,17033
8888,17189
8924,16071
8972,20285
8994,11402
9050,17061
9102,18322
9106,17433
9135,15386
9151,17170
9181,17257
9191,17098
9218,18344
9235,17089
11192,17016
11194,17021
11197,17018
11202,17023
11264,17082
11328,15088
11333,17147
11358,17167
11371,17174
11376,17185
11399,17203
11427,17224
11438,17215
11439,15126
11441,17225
11489,17266
11494,17264
11496,17287
11538,17357
11563,17342
11578,17426
11583,17454
11592,17455
11607,17356
11622,17475
11635,17363
11639,17418
11645,17325
11667,17460
11668,17443
11677,17456
11686,15178
11689,17480
11705,17481
11726,17527
11728,17497
11737,17503
11742,17504
11756,17521
11759,17530
11770,17518
11792,17563
11818,17578
11853,17616
11881,17633
11882,17628
11884,17635
11897,17654
11913,17662
11914,17670
11961,17702
11968,17750
11981,17738
11985,17740
11993,17719
12020,17782
12026,17801
12069,17789
12084,17823
12089,17821
12090,15365
12098,15406
12099,17834
12105,17849
12119,17836
12120,17861
12128,17872
12148,17904
12157,17883
12163,17936
12170,17927
12173,17889
12182,15493
12213,17979
12217,17959
12228,17920
12239,17998
12240,17972
12252,17985
12254,18039
12263,18025
12272,18054
12278,17980
12326,17988
12329,18068
12337,18171
12349,18070
12359,18043
12367,18106
12370,18142
12386,18123
12394,18164
12401,18153
12405,18160
12415,18184
12417,18079
12432,18145
12460,18183
12464,18162
12470,18199
12481,18202
12485,18248
12495,18233
12534,18213
12535,18251
12540,18323
12547,18287
12553,18385
12554,18296
12567,18327
12568,18261
12572,18220
12581,18326
12582,18294
12588,15651
12589,18336
12605,18368
12608,18337
12610,18347
12616,18432
12617,18332
12628,18305
12644,18491
12648,18333
12661,18314
12665,18430
12672,18434
12676,18366
12678,18395
12680,18416
12685,18383
12704,18460
12705,18354
12708,18391
12711,18643
12712,18500
12750,18571
12754,18692
12755,18356
12766,15711
12790,18398
12798,18540
12811,18423
12835,18606
12863,18590
12865,18451
12872,18384
12884,18542
12895,18553
12898,18661
12907,18613
12918,18736
12919,18599
12934,18687
12936,18667
12949,18682
12989,18718
12998,18678
13003,18612
13024,18693
13047,18609
13067,18616
13096,18683
13107,18755
13112,19043
13122,18832
13135,18911
13148,18591
13185,18944
13189,18815
13202,18713
13219,19078
13229,18873
13233,19027
13236,18963
13265,19031
13296,18621
13299,18868
13300,19058
13324,19019
13344,18968
13345,18988
13346,19022
13354,18780
13362,19083
13369,19111
13374,19089
13376,19166
13382,19146
13383,16079
13388,19114
13392,19132
13395,16055
13404,19096
13412,19167
13431,19177
13433,19195
13440,19141
13444,19165
13450,16099
13451,19153
13459,19233
13460,19224
13468,19199
13471,19127
13474,19178
13477,19196
13480,19239
13496,19249
13505,19309
13508,16225
13510,19282
13515,19264
13522,19223
13534,19260
13542,19334
13546,19390
13555,16119
13557,19085
13558,19363
13568,19219
13579,19479
13596,19601
13598,19350
13599,19251
13602,19358
13604,19293
13606,19226
13609,19480
13615,19500
13616,19581
13618,19380
13627,19299
13631,19269
13657,19279
13671,19420
13675,19558
13686,19447
13709,19398
13724,19428
13729,19657
13739,16288
13752,19469
13765,19438
13771,19410
13774,19635
13775,19446
13776,19674
13783,19686
13789,19458
13794,19588
13807,19468
13817,19502
13828,19518
13835,19514
13849,19556
13871,19721
13872,19746
13877,19656
13884,19454
13888,19637
13890,19971
13892,19654
13895,19476
13900,19861
13918,19731
13921,19516
13923,19583
13950,19200
13959,19840
13975,19913
13984,19603
13995,19693
14003,19912
14043,19831
14046,19842
14053,20034
14054,19791
14064,19624
14094,19739
14097,19571
14106,19946
14130,19951
14136,19574
14140,20098
14154,19958
14158,19617
14175,19848
14182,19786
14194,19921
14221,20030
14228,19548
14231,20108
14255,19906
14263,19975
14295,19836
14297,20121
14301,19990
14304,19768
14312,20144
14331,19960
14342,19955
14343,19926
14347,20031
14353,20090
14360,19753
14364,20092
14365,19952
14386,20132
14387,20067
14390,20075
14395,20097
14409,20000
14415,20115
14416,20114
14421,19948
14426,20062
14427,19908
14436,20185
14437,20174
14439,20178
14443,20207
14446,20187
14448,20177
14451,20307
14452,20299
14455,20186
14457,20197
14472,20334
14480,20229
14498,20296
14501,20266
14505,20390
14506,20278
14516,20260
14518,20531
14524,20291
14527,20458
14537,20350
14539,20467
14545,20279
14546,20309
14549,20312
14555,20691
14581,20339
14586,20277
14590,20381
14618,20413
14622,20468
14624,20489
14639,20366
14660,20411
14668,20650
14676,20405
14679,20595
14685,20539
14689,20494
14692,20445
14709,20493
14722,20605
14739,20538
14742,20566
14746,20517
14748,20579
14751,20519
14752,20591
14760,20525
14765,20584
14781,20620
14790,20557
14797,20660
14803,20675
14828,20662
14841,98
14842,20602
14851,20613
14854,16745
14858,20667
14859,20726
14864,20509
14869,20728
14885,20582
14887,20780
14892,20655
14902,20857
14907,20773
14912,20734
14917,20874
14943,20784
14954,20792
14957,20739
14958,20883
14979,20694
14990,20847
14993,20879
14998,20839
15000,20886
15006,20711
15009,20545
15032,20741
17304,1432
