old_id,instead_id
9,17205
116,17104
168,17148
433,17372
443,17324
646,17398
1140,17125
1153,17126
1156,17374
1333,17120
1352,17242
1357,17365
1429,19208
1439,17947
2020,17733
2316,17314
2354,17220
2410,17204
2514,17218
2706,17261
2891,11282
2922,19145
3006,17197
3088,18835
3446,17402
3508,20348
3571,18587
3639,17090
3790,20414
3891,17457
4012,17523
4150,19529
4159,17134
4306,18410
4336,17857
4378,17545
4442,19205
4464,18499
4707,11437
4762,17346
4845,17150
5029,17338
5087,17350
5122,17359
5404,11916
5710,17516
5740,11419
5938,18195
5972,17155
6263,11284
6358,18194
6388,17012
6412,17014
6433,11280
6486,17096
6488,17093
6552,11225
6632,17235
6645,17131
6739,17034
6810,11416
6815,17047
6825,20261
6844,17006
6863,17211
6952,17101
7013,18081
7029,17092
7050,11457
7059,11383
7072,17153
7111,19133
7166,20204
7194,17094
7220,18193
7316,20358
7318,17313
7373,17428
7515,17827
7561,11283
7656,11479
7670,17110
7717,17442
7892,17627
7916,17830
8010,19207
8032,17116
8219,19368
8235,17894
8278,20267
8309,18243
8313,17507
8327,17180
8338,17008
8399,17208
8476,17085
8661,17289
8697,11276
8724,11266
8789,17305
8876,17033
8888,17189
8994,11402
9050,17061
9102,18322
9106,17433
9151,17170
9181,17257
9191,17098
9218,18344
9235,17089
