old_id,instead_id
9,17205
433,17372
646,17398
750,15064
984,16030
1060,15125
1153,17126
1156,17374
1174,15384
1292,15120
1333,17120
1352,17242
1429,19208
1439,17947
1749,16665
1936,17097
2052,16010
2316,17314
2706,17261
3006,17197
3088,18835
3446,17402
3508,20348
3571,18587
3874,16744
4108,15078
4336,17857
4826,16083
5222,15221
5489,15072
5972,17155
5979,16761
6305,17005
6388,17012
6412,17014
6472,17500
6486,17096
6578,15269
6623,16115
6712,16108
6725,15267
6810,11416
6844,17006
6863,17211
7050,11457
7111,19133
7318,17313
7412,15599
7476,9265
7561,11283
7589,20608
7749,18212
7892,17627
7916,17830
8010,19207
8221,16068
8399,17208
8661,17289
8697,11276
8789,17305
8924,16071
8994,11402
9102,18322
9106,17433
9135,15386
9218,18344
9768,15543
9994,18405
10088,15865
10139,15919
10387,16166
10584,16281
10762,16481
11300,17119
11323,17134
11371,17174
11643,17414
12053,17810
12592,18210
12652,18429
13202,18713
13604,19293
13658,19473
14160,19941
14172,19762
14185,19925
14200,20134
14342,19955
14389,20138
14979,20694
15011,20803
