old_id,instead_id
9,17205
116,17104
148,19633
168,17148
411,17259
433,17372
443,17324
646,17398
750,15064
984,16030
1060,15125
1140,17125
1153,17126
1156,17374
1174,15384
1219,17035
1292,15120
1333,17120
1352,17242
1357,17365
1429,19208
1439,17947
1749,16665
1826,16428
1840,16134
1936,17097
2020,17733
2052,16010
2316,17314
2332,15722
2354,17220
2410,17204
2514,17218
2706,17261
2891,11282
2922,19145
3006,17197
3088,18835
3292,15048
3406,16714
3441,17415
3446,17402
3508,20348
3566,15429
3571,18587
3639,17090
3790,20414
3874,16744
3891,17457
4012,17523
4108,15078
4150,19529
4159,17134
4306,18410
4336,17857
4378,17545
4442,19205
4464,18499
4707,11437
4762,17346
4811,17262
4826,16083
4845,17150
4987,16168
5018,16726
5029,17338
5087,17350
5122,17359
5222,15221
5404,11916
5489,15072
5523,19289
5710,17516
5740,11419
5839,16176
5938,18195
5967,16091
5972,17155
5979,16761
6263,11284
6305,17005
6358,18194
6380,17179
6388,17012
6412,17014
6433,11280
6472,17500
6486,17096
6488,17093
6552,11225
6578,15269
6623,16115
6632,17235
6642,15100
6645,17131
6695,15092
6712,16108
6725,15267
6739,17034
6795,17279
6810,11416
6815,17047
6825,20261
6844,17006
6863,17211
6952,17101
7013,18081
7029,17092
7050,11457
7059,11383
7072,17153
7111,19133
7166,20204
7175,16692
7183,17050
7194,17094
7220,18193
7316,20358
7318,17313
7373,17428
7412,15599
7476,9265
7515,17827
7561,11283
7589,20608
7619,15405
7656,11479
7670,17110
7717,17442
7749,18212
7892,17627
7916,17830
7989,17013
8010,19207
8032,17116
8095,15268
8219,19368
8221,16068
8235,17894
8266,11397
8278,20267
8309,18243
8313,17507
8327,17180
8338,17008
8379,9397
8399,17208
8400,11179
8476,17085
8661,17289
8697,11276
8724,11266
8789,17305
8876,17033
8888,17189
8972,20285
8994,11402
9050,17061
9102,18322
9106,17433
9135,15386
9151,17170
9181,17257
9191,17098
9218,18344
9235,17089
