old_id,instead_id
9,17205
148,19633
433,17372
750,15064
1060,15125
1174,15384
1292,15120
1840,16134
2316,17314
2332,15722
3441,17415
3790,20414
4108,15078
4762,17346
4845,17150
5029,17338
5489,15072
5839,16176
5938,18195
5979,16761
6412,17014
6642,15100
6739,17034
6795,17279
6815,17047
7013,18081
7072,17153
7318,17313
7589,20608
7619,15405
7892,17627
8266,11397
8379,9397
8924,16071
8994,11402
9135,15386
9151,17170
9181,17257
9256,15059
9285,15084
9304,15115
9345,15153
9366,15171
9376,15179
9392,15200
9398,15204
9409,15211
9454,15251
9493,15292
9508,15310
9563,15367
9566,15356
9613,15396
9627,15409
9628,15424
9633,15431
9644,15483
9656,15448
9680,15498
9697,15454
9699,15463
9706,15494
9707,15516
9734,15523
9757,15495
9780,15568
9788,15573
9796,15600
9812,15597
9842,15622
9860,15644
9875,18297
9885,15681
9904,15709
9908,15816
9931,15774
9973,15823
9982,15683
9985,15756
10026,15839
10027,15767
10028,15861
10041,15812
10042,15838
10050,15843
10067,15814
10084,15802
10092,15852
10115,15824
10118,15885
10146,15907
10158,16004
10239,16007
10255,16022
10284,16036
10286,16025
10312,16082
10329,16207
10346,16087
10371,16124
10373,16136
10381,16203
10391,16129
10399,16208
10416,16179
10445,16187
10465,16389
10466,16334
10505,16252
10507,16370
10511,16273
10542,16238
10560,16404
10590,16457
10598,16244
10643,16323
10644,16171
10662,16504
10666,16440
10703,16577
10740,16489
10747,16350
10809,16579
10824,16715
10901,16758
10909,16714
10941,16625
10962,16857
10974,16784
10976,16786
10999,16880
11005,16809
11022,16974
11034,16878
11044,16901
11084,16860
11124,16891
11149,16961
11227,17043
11243,17055
11257,17065
11381,17190
11386,17214
11436,17268
11482,17272
11530,17377
11552,17423
11554,17393
11577,17401
11579,17366
11607,17356
11649,17450
11662,17391
11719,17459
11749,17510
11756,17521
11787,17536
11903,17655
11962,17800
11987,17771
12089,17821
12096,17842
12099,17834
12123,17879
12149,17895
12189,17968
12197,17938
12227,17944
12358,18097
12381,18143
12528,18255
12537,18234
12541,18249
12570,18277
12636,18370
12666,18524
12672,18434
12742,18343
12752,18532
12757,18552
12789,18530
12841,18526
12848,18657
12859,18569
12903,18733
12918,18736
12927,18582
12941,18316
12958,18478
13085,18849
13086,18610
13328,18830
13416,19152
13428,19143
13593,19327
13604,19293
13605,19359
13625,19337
13668,19493
13737,19664
13776,19674
13780,19627
13796,19432
13801,19373
13831,19407
13835,19514
13881,19692
13980,19728
14005,19733
14023,19681
14057,19551
14081,19726
14139,19993
14166,19985
14308,20095
14436,20185
14440,20176
14457,20197
14465,20365
14505,20390
14506,20278
14522,20515
14571,20310
14657,20395
14696,20507
14814,20750
14833,20652
14851,20613
14859,20726
14934,20791
14969,20851
14979,20694
15041,20840
